,tau,algorithm,avg_bias
0,30000,OS,0.0006417391304347836
1,30000,MES,-5.5700869565216306e-05
2,30000,S-MES,-9.906086956521632e-05
3,40000,OS,0.0005051923678448559
4,40000,MES,5.863175191048873e-05
5,40000,S-MES,1.1241230014867753e-05
6,50000,OS,0.000405328381874323
7,50000,MES,5.139364099140555e-05
8,50000,S-MES,8.421513811232687e-05
9,60000,OS,0.00036189913043478385
10,60000,MES,-7.460869565216111e-06
11,60000,S-MES,2.3419130434783848e-05
12,70000,OS,0.00025916202282683304
13,70000,MES,-4.4801836311873784e-05
14,70000,S-MES,7.031643588558942e-05
15,80000,OS,0.0002156803421924322
16,80000,MES,8.736600505985873e-05
17,80000,S-MES,2.617824261234822e-05
18,100000,OS,0.00023992531085704848
19,100000,MES,2.061122066756513e-05
20,100000,S-MES,3.2658256904666246e-05
